date,symbol,display_symbol,close,adj_close,currency,source
2026-01-02,VCN.TO,VCN,45.00,45.00,CAD,demo
2026-02-02,VCN.TO,VCN,45.65,45.65,CAD,demo
2026-03-02,VCN.TO,VCN,46.10,46.10,CAD,demo
2026-04-01,VCN.TO,VCN,46.80,46.80,CAD,demo
2026-05-01,VCN.TO,VCN,46.95,46.95,CAD,demo
2026-06-01,VCN.TO,VCN,47.25,47.25,CAD,demo
2026-01-02,VFV.TO,VFV,110.00,110.00,CAD,demo
2026-02-02,VFV.TO,VFV,112.25,112.25,CAD,demo
2026-03-02,VFV.TO,VFV,113.70,113.70,CAD,demo
2026-04-01,VFV.TO,VFV,115.50,115.50,CAD,demo
2026-05-01,VFV.TO,VFV,116.00,116.00,CAD,demo
2026-06-01,VFV.TO,VFV,118.40,118.40,CAD,demo
2026-01-02,CASH.TO,CASH,50.00,50.00,CAD,demo
2026-02-02,CASH.TO,CASH,50.01,50.01,CAD,demo
2026-03-02,CASH.TO,CASH,50.02,50.02,CAD,demo
2026-04-01,CASH.TO,CASH,50.03,50.03,CAD,demo
2026-05-01,CASH.TO,CASH,50.04,50.04,CAD,demo
2026-06-01,CASH.TO,CASH,50.05,50.05,CAD,demo
2026-03-04,AAPL,AAPL,178.00,178.00,USD,demo
2026-04-01,AAPL,AAPL,182.00,182.00,USD,demo
2026-05-01,AAPL,AAPL,187.50,187.50,USD,demo
2026-06-01,AAPL,AAPL,191.00,191.00,USD,demo
2026-03-20,SHOP.TO,SHOP,90.00,90.00,CAD,demo
2026-04-01,SHOP.TO,SHOP,92.25,92.25,CAD,demo
2026-05-01,SHOP.TO,SHOP,94.80,94.80,CAD,demo
2026-06-01,SHOP.TO,SHOP,96.00,96.00,CAD,demo
2026-05-06,XQQ.TO,XQQ,128.00,128.00,CAD,demo
2026-06-01,XQQ.TO,XQQ,132.00,132.00,CAD,demo
2026-01-02,^GSPC,S&P 500,4750,4750,USD,demo
2026-02-02,^GSPC,S&P 500,4820,4820,USD,demo
2026-03-02,^GSPC,S&P 500,4895,4895,USD,demo
2026-04-01,^GSPC,S&P 500,5010,5010,USD,demo
2026-05-01,^GSPC,S&P 500,5090,5090,USD,demo
2026-06-01,^GSPC,S&P 500,5160,5160,USD,demo
2026-01-02,^GSPTSE,S&P/TSX Composite,21000,21000,CAD,demo
2026-02-02,^GSPTSE,S&P/TSX Composite,21250,21250,CAD,demo
2026-03-02,^GSPTSE,S&P/TSX Composite,21480,21480,CAD,demo
2026-04-01,^GSPTSE,S&P/TSX Composite,21610,21610,CAD,demo
2026-05-01,^GSPTSE,S&P/TSX Composite,21725,21725,CAD,demo
2026-06-01,^GSPTSE,S&P/TSX Composite,21920,21920,CAD,demo
2026-01-02,CADUSD=X,USD/CAD,1.38,1.38,FX,demo
2026-02-02,CADUSD=X,USD/CAD,1.37,1.37,FX,demo
2026-03-02,CADUSD=X,USD/CAD,1.38,1.38,FX,demo
2026-04-01,CADUSD=X,USD/CAD,1.39,1.39,FX,demo
2026-05-01,CADUSD=X,USD/CAD,1.38,1.38,FX,demo
2026-06-01,CADUSD=X,USD/CAD,1.38,1.38,FX,demo
